model,accuracy,precision,recall,f1
Logistic Regression,0.826302729528536,0.8562091503267973,0.9097222222222222,0.8821548821548821
Multinomial Naive Bayes,0.7853598014888338,0.7810320781032078,0.9722222222222222,0.8662026295436969
SimpleT5,0.8995037220843672,0.9216354344122658,0.9392361111111112,0.9303525365434222
